0.1173,0.0483
0.1173,0.0124
0.1173,0.0127
0.1173,0.0139
0.1177,0.0052
0.1176,0.0135
0.1178,0.0067
0.1182,0.0030
0.1190,-0.0048
0.1189,0.0057
0.1194,-0.0039
0.1197,-0.0017
0.1198,-0.0074
0.1192,-0.0124
0.1191,-0.0054
0.1193,-0.0009
0.1199,0.0084
0.1198,0.0037
0.1200,-0.0017
0.1173,0.0483
0.1173,0.0124
0.1173,0.0127
0.1173,0.0139
0.1177,0.0052
0.1176,0.0135
0.1178,0.0067
0.1182,0.0030
0.1190,-0.0048
0.1189,0.0057
0.1194,-0.0039
0.1197,-0.0017
0.1198,-0.0074
0.1192,-0.0124
0.1191,-0.0054
0.1193,-0.0009
0.1199,0.0084
0.1198,0.0037
0.1200,-0.0017
0.1193,-0.0128
0.1189,-0.0113
0.1192,-0.0001
0.1191,-0.0048
0.1187,-0.0110
0.1183,-0.0136
0.1179,-0.0157
0.1182,-0.0052
0.1185,-0.0020
0.1191,0.0025
0.1191,-0.0038
0.1193,-0.0012
0.1196,0.0027
0.1197,0.0102
0.1190,0.0135
0.1190,0.0052
0.1191,0.0032
0.1189,0.0086
0.1182,0.0170
0.1173,0.0483
0.1173,0.0124
0.1173,0.0127
0.1173,0.0139
0.1177,0.0052
0.1176,0.0135
0.1178,0.0067
0.1182,0.0030
0.1190,-0.0048
0.1189,0.0057
0.1194,-0.0039
0.1197,-0.0017
0.1198,-0.0074
0.1192,-0.0124
0.1191,-0.0054
0.1193,-0.0009
0.1199,0.0084
0.1198,0.0037
0.1200,-0.0017
0.1193,-0.0128
0.1189,-0.0113
0.1192,-0.0001
0.1191,-0.0048
0.1187,-0.0110
0.1183,-0.0136
0.1179,-0.0157
0.1182,-0.0052
0.1185,-0.0020
0.1191,0.0025
0.1191,-0.0038
0.1193,-0.0012
0.1196,0.0027
0.1197,0.0102
0.1190,0.0135
0.1190,0.0052
0.1191,0.0032
0.1189,0.0086
0.1182,0.0170
0.1168,0.0346
0.1154,0.0401
0.1143,0.0435
0.1134,0.0431
0.1123,0.0534
0.1110,0.0602
0.1102,0.0583
0.1098,0.0547
0.1097,0.0522
0.1092,0.0596
0.1084,0.0665
0.1070,0.0834
0.1055,0.0929
0.1039,0.1015
0.1029,0.0992
0.1018,0.1063
0.1002,0.1205
0.0995,0.1133
0.0990,0.1119
0.1173,0.0483
0.1173,0.0124
0.1173,0.0127
0.1173,0.0139
0.1177,0.0052
0.1176,0.0135
0.1178,0.0067
0.1182,0.0030
0.1190,-0.0048
0.1189,0.0057
0.1194,-0.0039
0.1197,-0.0017
0.1198,-0.0074
0.1192,-0.0124
0.1191,-0.0054
0.1193,-0.0009
0.1199,0.0084
0.1198,0.0037
0.1200,-0.0017
0.1193,-0.0128
0.1189,-0.0113
0.1192,-0.0001
0.1191,-0.0048
0.1187,-0.0110
0.1183,-0.0136
0.1179,-0.0157
0.1182,-0.0052
0.1185,-0.0020
0.1191,0.0025
0.1191,-0.0038
0.1193,-0.0012
0.1196,0.0027
0.1197,0.0102
0.1190,0.0135
0.1190,0.0052
0.1191,0.0032
0.1189,0.0086
0.1182,0.0170
0.1168,0.0346
0.1154,0.0401
0.1143,0.0435
0.1134,0.0431
0.1123,0.0534
0.1110,0.0602
0.1102,0.0583
0.1098,0.0547
0.1097,0.0522
0.1092,0.0596
0.1084,0.0665
0.1070,0.0834
0.1055,0.0929
0.1039,0.1015
0.1029,0.0992
0.1018,0.1063
0.1002,0.1205
0.0995,0.1133
0.0990,0.1119
0.0985,0.1155
0.0977,0.1221
0.0969,0.1272
0.0961,0.1327
0.0951,0.1394
0.0942,0.1437
0.0931,0.1542
0.0921,0.1571
0.0909,0.1656
0.0900,0.1681
0.0894,0.1648
0.0890,0.1650
0.0884,0.1727
0.0880,0.1706
0.0880,0.1649
0.0880,0.1635
0.0882,0.1608
0.0879,0.1687
0.0869,0.1869
0.1173,0.0483
0.1173,0.0124
0.1173,0.0127
0.1173,0.0139
0.1177,0.0052
0.1176,0.0135
0.1178,0.0067
0.1182,0.0030
0.1190,-0.0048
0.1189,0.0057
0.1194,-0.0039
0.1197,-0.0017
0.1198,-0.0074
0.1192,-0.0124
0.1191,-0.0054
0.1193,-0.0009
0.1199,0.0084
0.1198,0.0037
0.1200,-0.0017
0.1193,-0.0128
0.1189,-0.0113
